,output
10,"1) Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2) He was born on December 28, 1856, in Staunton, Virginia.
3) Wilson was a highly educated man, earning a Ph.D. in political science from Johns Hopkins University and later becoming a professor at Princeton University.
4) As president, Wilson is known for his progressive policies, such as the establishment of the Federal Reserve System and the implementation of the income tax.
5) He also played a crucial role in the passage of several significant pieces of legislation, including the Clayton Antitrust Act and the Federal Trade Commission Act.
6) Wilson's foreign policy was dominated by his efforts to keep the United States out of World War I, but ultimately, he led the country into the war in 1917.
7) During his presidency, Wilson advocated for the creation of the League of Nations, an international organization aimed at preventing future global conflicts.
8) Despite his accomplishments, Wilson faced criticism for his handling of civil rights issues, including his support for racial segregation and his suppression of dissent during World War I."
11,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia, and grew up in Georgia and South Carolina.
3. Wilson was a prominent political scientist and academic before entering politics, serving as the President of Princeton University from 1902 to 1910.
4. He is best known for his leadership during World War I, where he advocated for American neutrality initially but later led the United States into the war in 1917.
5. Wilson was a strong proponent of the League of Nations, an international organization aimed at promoting peace and cooperation among nations, and was instrumental in its establishment.
6. He is also remembered for his progressive domestic policies, including the introduction of the Federal Reserve System and the passage of the Clayton Antitrust Act.
7. Wilson's presidency was marked by significant reforms in areas such as labor rights, women's suffrage, and the regulation of big business.
8. However, his legacy has been clouded by controversies, particularly regarding racial issues, as he supported segregation and allowed for the resegregation of federal offices in Washington, D.C."
12,"Woodrow Wilson was the 28th President of the United States, serving two terms from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson is known for his progressive policies and his leadership during World War I. He played a significant role in establishing the League of Nations, an international organization aimed at promoting peace and preventing future wars. Wilson's domestic agenda included the implementation of the Federal Reserve Act, the creation of the Federal Trade Commission, and the passing of the Clayton Antitrust Act. He was a firm believer in racial equality and women's suffrage, although his progressive stance on these issues faced opposition during his presidency. Wilson suffered a stroke in 1919 which left him partially paralyzed, and he remained secluded for the rest of his term. He passed away on February 3, 1924, in Washington, D.C."
13,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. Born in 1856 in Virginia, Wilson grew up in a Presbyterian household and later became a prominent scholar and professor of political science.
3. As President, Wilson implemented numerous progressive reforms, including the establishment of the Federal Reserve System, the Federal Trade Commission, and the Clayton Antitrust Act.
4. He is also known for his foreign policy achievements, particularly his leadership during World War I and his role in the creation of the League of Nations.
5. Wilson's vision for a more equitable and peaceful world order was encapsulated in his Fourteen Points, a set of principles he presented to Congress in 1918 as a blueprint for post-war peace.
6. However, Wilson faced significant opposition to these ideas, both domestically and internationally, and ultimately the United States did not join the League of Nations.
7. Wilson's presidency was marked by both successes and challenges, with his efforts to push through progressive reforms often met with resistance from Congress and the public.
8. After leaving office, Wilson remained active in public life and played a role in the negotiations leading to the Treaty of Versailles, although his health deteriorated and he suffered a stroke that left him partially paralyzed."
14,"Woodrow Wilson was the 28th president of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson attended Princeton University, where he eventually became a professor of political science and later the university's president. He is known for his progressive reforms, including the establishment of the Federal Reserve System and the enactment of the Federal Trade Commission Act. Wilson also played a crucial role in the formation of the League of Nations, which aimed to promote peace and prevent future world wars. However, his presidency was marked by controversy, particularly due to his handling of World War I and his support for racial segregation. Wilson suffered a stroke in 1919, which left him partially paralyzed, and his health declined for the remainder of his presidency. After leaving office, he retired to his home in Washington, D.C., where he died on February 3, 1924."
15,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia.
3. Wilson was a highly educated man, earning a Ph.D. in political science from Johns Hopkins University and later becoming a professor of history and political science at Princeton University.
4. As President, Wilson is known for his efforts to reform the nation's financial system, including the establishment of the Federal Reserve System.
5. He also played a significant role in shaping international relations, particularly during World War I, by advocating for the United States to remain neutral initially and then later leading the country's entry into the war.
6. Wilson was a strong advocate for democracy and self-determination, as demonstrated by his Fourteen Points speech, which outlined his vision for a post-war world order.
7. He was also instrumental in the creation of the League of Nations, an international organization aimed at maintaining peace and resolving conflicts.
8. Despite his many accomplishments, Wilson's presidency was not without controversy, as he faced opposition and criticism both domestically and internationally for some of his policies, such as the Espionage and Sedition Acts, which limited freedom of speech during wartime."
16,"Woodrow Wilson was born on December 28, 1856, in Staunton, Virginia, and was the 28th President of the United States. He served as President from 1913 to 1921 and is known for his progressive policies and leadership during World War I. 

Wilson was a highly educated man, earning a bachelor's degree from Princeton University, a law degree from the University of Virginia, and a Ph.D. in political science from Johns Hopkins University. He later became a professor and the president of Princeton University before entering politics.

During his presidency, Wilson implemented numerous reforms, including the establishment of the Federal Reserve System and the Federal Trade Commission. He also championed women's suffrage and signed the 19th Amendment, granting women the right to vote. 

However, Wilson's presidency was marred by racial inequality, as he allowed segregation in federal offices and supported policies that discriminated against African Americans. This has led to a mixed legacy for Wilson, as his progressive policies were often overshadowed by his failure to address racial injustice.

Wilson was also a key figure in shaping the post-World War I world order. His Fourteen Points speech outlined his vision for a peaceful and just world, and he played a crucial role in negotiating the Treaty of Versailles, which ended the war. However, his failure to gain support for the United States to join the League of Nations, an international organization he had championed, was a significant setback.

In 1919, Wilson suffered a stroke that left him partially paralyzed, and his health declined for the remainder of his presidency. After leaving office in 1921, he retired from public life and passed away on February 3, 1924. Despite his shortcomings, Woodrow Wilson's progressive policies and international efforts continue to shape American politics and foreign relations."
17,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia, and grew up in a Presbyterian family.
3. Wilson was a highly educated man, earning a Bachelor's degree from Princeton University, a law degree from the University of Virginia, and a Ph.D. in political science from Johns Hopkins University.
4. Prior to his presidency, Wilson served as the president of Princeton University.
5. One of his major accomplishments as president was the implementation of progressive reforms, including the establishment of the Federal Reserve System, the Federal Trade Commission, and the Clayton Antitrust Act.
6. Wilson is also known for his role in leading the United States through World War I, where he advocated for a policy of neutrality initially but later led the country into the war to ensure a lasting peace.
7. He played a significant role in the negotiation of the Treaty of Versailles, which ended World War I and established the League of Nations.
8. Wilson's presidency was marked by a commitment to democratic ideals and international cooperation, although some of his policies faced criticism and opposition domestically."
18,"Woodrow Wilson was the 28th president of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a scholar and an academic, having earned a Ph.D. in political science from Johns Hopkins University. He served as the president of Princeton University from 1902 to 1910, where he implemented significant reforms.

Wilson was known for his progressive policies and his advocacy for social justice. He championed causes such as labor rights, women's suffrage, and child labor laws. Wilson also played a crucial role in the passage of the Federal Reserve Act, which established the central banking system in the United States.

During his presidency, Wilson faced significant challenges, including World War I. He initially tried to keep the US out of the war but eventually led the country into it in 1917. He played a crucial role in negotiating the Treaty of Versailles, which ended World War I and created the League of Nations.

Wilson's presidency was marked by both successes and controversies. While he achieved significant domestic reforms, such as the establishment of the Federal Trade Commission and the Clayton Antitrust Act, he also faced criticism for his handling of racial issues. His administration implemented segregation policies in federal offices, leading to protests from civil rights activists.

Overall, Woodrow Wilson is remembered as a transformative president who left a lasting impact on American politics and international relations. His vision for a more just and equitable society continues to shape political discourse to this day."
19,"Woodrow Wilson was the 28th president of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a highly educated individual, earning a PhD in political science, and served as the president of Princeton University before entering politics. He is known for his progressive policies, including the implementation of the Federal Reserve System and the passage of the Clayton Antitrust Act. Wilson was also a staunch advocate for peace and played a significant role in the negotiations that led to the creation of the League of Nations, an international organization aimed at preventing future wars. However, his presidency was also marked by controversy, particularly regarding civil rights issues, as he supported racial segregation and enacted policies that limited the rights of African Americans. Wilson suffered a stroke in 1919, which left him partially paralyzed, and he remained secluded during his final years in office. He passed away on February 3, 1924, leaving behind a mixed legacy as a progressive leader with a complex stance on civil rights."
20,"1. Woodrow Wilson was the 28th president of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia.
3. Wilson was a scholar-practitioner, having earned a PhD in political science from Johns Hopkins University before entering politics.
4. During his presidency, Wilson introduced progressive reforms such as the Federal Reserve Act, the Clayton Antitrust Act, and the Federal Trade Commission Act, aimed at regulating big business and promoting fair competition.
5. He is also known for his foreign policy, particularly his role in leading the United States into World War I in 1917.
6. Wilson advocated for the formation of the League of Nations, an international organization aimed at preventing future global conflicts, and was awarded the Nobel Peace Prize in 1919 for his efforts.
7. Unfortunately, Wilson faced significant opposition and criticism, especially for his handling of civil rights issues, including racial segregation and his support for the controversial film, The Birth of a Nation.
8. Wilson suffered a stroke in 1919, which left him partially paralyzed and affected his ability to govern. He retired from politics in 1921 and passed away on February 3, 1924."
21,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. Born on December 28, 1856, in Staunton, Virginia, Wilson grew up in a Southern Presbyterian household.
3. He was known for his progressive policies and leadership during World War I, as well as his efforts to establish the League of Nations.
4. Wilson is often praised for his domestic agenda, known as the New Freedom, which aimed to promote economic and social reforms.
5. He signed landmark legislation such as the Federal Reserve Act and the Clayton Antitrust Act, which aimed to regulate big businesses and protect workers' rights.
6. Wilson's foreign policy focused on moral diplomacy, which aimed to promote democracy and human rights abroad.
7. Despite his accomplishments, Wilson faced criticism for his handling of racial issues, including the resegregation of federal offices and his failure to support civil rights for African Americans.
8. Wilson suffered a stroke in 1919, which left him partially paralyzed. His wife, Edith Wilson, effectively became the de facto president, as she controlled access to him and made decisions on his behalf until the end of his term."
22,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. Born on December 28, 1856, in Staunton, Virginia, Wilson was a highly educated individual with a Ph.D. in political science. He is known for his progressive policies and advocacy for democracy and international peace. Wilson introduced numerous reforms during his presidency, including the establishment of the Federal Reserve System and the implementation of the Federal Trade Commission. He is also remembered for his role in leading the United States through World War I and for his efforts to establish the League of Nations, an international organization aimed at promoting peace and preventing future conflicts. Despite his accomplishments, Wilson's presidency was not without controversy, as he faced criticism for some of his policies, such as racial segregation in federal agencies. Woodrow Wilson died on February 3, 1924, leaving behind a legacy as a transformative president and an advocate for global cooperation."
23,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia, and grew up in a Presbyterian household.
3. Wilson is known for his progressive domestic policies, including the establishment of the Federal Reserve System and the enactment of the Clayton Antitrust Act.
4. He also implemented numerous reforms to protect workers' rights, such as the introduction of an eight-hour workday and the creation of the Federal Trade Commission.
5. Wilson is perhaps most famous for his role in World War I. He initially maintained a policy of neutrality but eventually led the United States into the war in 1917.
6. During his presidency, Wilson introduced the ""Fourteen Points,"" which outlined his vision for a post-war world based on self-determination and international cooperation.
7. Wilson was a strong advocate for the League of Nations, an international organization aimed at preventing future wars. However, the United States ultimately did not join the League due to opposition from Congress.
8. Wilson's health deteriorated significantly towards the end of his presidency, and he suffered a stroke in 1919 that left him partially paralyzed. He retired from public life and died on February 3, 1924."
24,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia.
3. Wilson attended Princeton University, where he excelled academically and became deeply interested in politics and government.
4. Prior to his presidency, Wilson served as the Governor of New Jersey from 1911 to 1913.
5. He is best known for his leadership during World War I, as he guided the United States through the conflict and played a significant role in negotiating the Treaty of Versailles.
6. Wilson was a strong advocate for progressive reforms, including the implementation of antitrust laws and the establishment of the Federal Reserve System.
7. He also pushed for the passage of the 19th Amendment, granting women the right to vote.
8. Unfortunately, Wilson's presidency was marred by racial segregation policies, as he failed to address the civil rights concerns of African Americans and even endorsed discriminatory practices."
25,"Woodrow Wilson, born on December 28, 1856, was the 28th President of the United States, serving from 1913 to 1921. He was a prominent figure in American politics and an influential leader during a critical period in the country's history. Wilson is best known for his role in leading the United States through World War I and for his efforts in shaping the post-war world order.

Wilson was a scholar and an academic before entering politics. He earned a PhD in political science and became a professor at Princeton University. His intellectual background greatly influenced his approach to governance, and he emphasized the importance of moral principles and democratic ideals in politics.

As President, Wilson implemented several progressive reforms, including the establishment of the Federal Reserve System and the passage of the Clayton Antitrust Act. He also championed women's suffrage and successfully pushed for the ratification of the 19th Amendment, granting women the right to vote.

Internationally, Wilson was a proponent of a peaceful world order and advocated for the establishment of the League of Nations. He played a crucial role in negotiating the Treaty of Versailles, which ended World War I, and sought to create a collective security system to prevent future conflicts.

However, Wilson faced significant challenges during his presidency, including opposition to his progressive agenda and resistance from some members of Congress. He also struggled with racial issues, as his administration implemented policies that further segregated federal agencies.

Despite these challenges, Wilson's legacy remains influential. His vision for a world order based on diplomacy and collective security set the stage for future international organizations like the United Nations. He is remembered as a transformative leader who sought to bring about lasting change both domestically and globally."
26,"Woodrow Wilson was the 28th President of the United States, serving two terms from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a highly educated man, earning a Ph.D. in political science from Johns Hopkins University and serving as the president of Princeton University before entering politics. He was known for his progressive policies, which included advocating for labor rights, women's suffrage, and the establishment of the Federal Reserve System. Wilson is also remembered for his leadership during World War I, as he maintained a policy of neutrality until the United States was drawn into the conflict in 1917. He played a key role in negotiating the Treaty of Versailles, which ended the war, and championed the creation of the League of Nations. However, Wilson faced significant opposition to his domestic and foreign policies, and his efforts to push through the Treaty of Versailles were ultimately unsuccessful. He retired from politics in 1921 and spent his remaining years writing and reflecting on his presidency. Woodrow Wilson passed away on February 3, 1924, in Washington, D.C."
27,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a scholar, earning a Ph.D. in political science and teaching at various universities before entering politics. He was known for his progressive policies and commitment to social reforms, including women's suffrage and the establishment of the Federal Reserve System. Wilson is also remembered for his leadership during World War I, as he successfully kept the United States out of the conflict until 1917. He played a key role in negotiating the Treaty of Versailles, which ended the war and established the League of Nations, although the United States did not join the league. Wilson's presidency was marked by both successes and controversies, and he left a lasting impact on American politics and international relations. He died on February 3, 1924, in Washington, D.C."
28,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was known for his academic background, having served as the president of Princeton University before entering politics. He was a progressive leader who implemented many reforms during his presidency, including the Federal Reserve Act and the Clayton Antitrust Act. Wilson is also remembered for his role in leading the United States through World War I, ultimately pushing for the creation of the League of Nations as a means of preventing future conflicts. However, his efforts to secure Senate approval for the League of Nations ultimately failed. Wilson suffered a severe stroke in 1919, which left him partially paralyzed and limited his ability to govern effectively for the remainder of his presidency. He passed away on February 3, 1924, in Washington, D.C."
29,"1. Woodrow Wilson was the 28th president of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia.
3. Wilson is known for his progressive policies and efforts to reform the federal government.
4. He introduced several groundbreaking policies, including the Federal Reserve Act and the Clayton Antitrust Act.
5. Wilson also played a crucial role in the establishment of the League of Nations, an international organization aimed at maintaining peace and resolving conflicts.
6. He led the United States through World War I, advocating for a more peaceful approach and eventually negotiating the Treaty of Versailles.
7. Wilson's presidency was marked by significant economic and social reforms, such as the introduction of the income tax and the creation of the Federal Trade Commission.
8. Although highly regarded for his domestic policies, Wilson faced criticism for his handling of civil rights issues, including his support for racial segregation in the federal government."
30,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a highly educated man, earning a Ph.D. in political science and becoming a professor at Princeton University before entering politics. His presidency is often associated with his involvement in World War I. He initially kept the United States neutral but eventually led the country into the war in 1917. Wilson's leadership during the war included advocating for the League of Nations, an international organization aimed at preventing future conflicts. Despite his efforts, the United States did not join the League of Nations due to opposition from Congress. Wilson's presidency also saw significant domestic reforms, including the implementation of progressive policies such as the Federal Reserve Act and the Clayton Antitrust Act. He is remembered as a strong advocate for democracy, both domestically and internationally, and for his vision of a peaceful world order through international cooperation. Woodrow Wilson passed away on February 3, 1924."
31,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a highly educated man, earning his Ph.D. in political science from Johns Hopkins University and later becoming a professor of political science and history. 

During his presidency, Wilson enacted numerous progressive policies, including the Federal Reserve Act, the Federal Trade Commission Act, and the Clayton Antitrust Act. He also implemented several reforms in the areas of labor, banking, and agriculture. 

Wilson is perhaps best known for his role in World War I. Despite initially adopting a policy of neutrality, he eventually led the United States into the war in 1917 after German aggression and unrestricted submarine warfare threatened American lives and interests. Wilson's Fourteen Points speech laid out his vision for a post-war world, emphasizing self-determination, disarmament, and the establishment of a League of Nations. 

Despite his accomplishments, Wilson's presidency was not without controversy. He faced opposition and criticism for his handling of racial issues, particularly his support for segregation policies. Additionally, his efforts to push the Treaty of Versailles and the League of Nations through Congress were met with opposition, ultimately resulting in the U.S. never joining the League. 

Woodrow Wilson retired from politics in 1921 and spent the rest of his life writing and reflecting on his time in office. He passed away on February 3, 1924, leaving behind a complex legacy as a progressive leader, a wartime president, and a flawed advocate for racial equality."
32,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson attended Princeton University and later earned a law degree from the University of Virginia. Before becoming President, he served as the President of Princeton University from 1902 to 1910 and as the Governor of New Jersey from 1911 to 1913.

During his presidency, Wilson introduced numerous progressive reforms, including the establishment of the Federal Reserve System, the Federal Trade Commission, and the Clayton Antitrust Act. He also advocated for women's suffrage and signed the 19th Amendment into law, granting women the right to vote. 

Wilson played a significant role in World War I, leading the United States into the war in 1917 after initially advocating for neutrality. He developed his Fourteen Points plan, which aimed to establish lasting peace and self-determination for nations, and played a crucial role in the negotiations for the Treaty of Versailles.

Despite his accomplishments, Wilson faced criticism for his handling of racial issues and civil liberties. He was a staunch segregationist and allowed his administration to implement discriminatory policies, particularly against African Americans. His support for the Espionage and Sedition Acts during World War I also led to the suppression of free speech and political dissent.

In 1919, Wilson suffered a severe stroke that left him partially paralyzed. His health decline greatly affected his presidency, and he was unable to fully participate in political affairs during his remaining term. Woodrow Wilson died on February 3, 1924, in Washington, D.C., leaving behind a complex legacy as a progressive reformer and international diplomat."
33,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson studied law and political science, earning a Ph.D. in political science from Johns Hopkins University. He became a professor of political science and later served as the president of Princeton University from 1902 to 1910.

Wilson is known for his progressive policies and advocacy for social justice. He implemented numerous reforms during his presidency, including the establishment of the Federal Reserve System, the Federal Trade Commission, and the Clayton Antitrust Act. He also signed the 19th Amendment, granting women the right to vote.

Wilson led the United States through World War I and played a major role in the negotiations that led to the Treaty of Versailles, which ended the war. He proposed the creation of the League of Nations, an international organization aimed at maintaining peace and resolving conflicts. However, the United States did not join the League of Nations due to opposition from the Senate.

Despite his significant accomplishments, Wilson's presidency was also marred by controversy. He faced criticism for his handling of civil rights issues, as he did not actively support racial equality and even allowed segregation in federal offices. Additionally, Wilson's administration was criticized for suppressing dissent and free speech during World War I through measures such as the Espionage Act.

Woodrow Wilson passed away on February 3, 1924, after suffering a stroke. His legacy as a progressive leader and his contributions to shaping American domestic and foreign policies continue to be subjects of historical debate."
