,name,ratings,party,year
36,Lyndon B. Johnson,"[0.41281917691230774, 0.34943723678588867, 0.4024738073348999, 0.3510705530643463, 0.35679927468299866, 0.3483838737010956, 0.4747454524040222, 0.3512316942214966, 0.3765336871147156, 0.26393207907676697, 0.13146282732486725, 0.228754460811615, 0.2716088593006134, 0.26026323437690735, 0.4127477705478668, 0.1783711463212967, 0.29649749398231506, 0.3494111895561218, 0.5158940553665161, 0.2418297678232193, 0.3449179530143738, 0.21580708026885986, 0.39048275351524353, 0.5184727907180786, 0.329262375831604, 0.374910831451416, 0.22711504995822906, 0.41426488757133484, 0.48007017374038696, 0.3183707296848297, 0.25965243577957153, 0.2796284556388855, 0.33996284008026123, 0.2305116206407547, 0.32987505197525024, 0.36433300375938416, 0.40089255571365356, 0.2822738289833069, 0.20675809681415558, 0.2677956819534302, 0.23854681849479675, 0.4391492009162903, 0.25470834970474243, 0.26051169633865356, 0.3425261080265045, 0.37817975878715515, 0.3248847424983978, 0.36410611867904663, 0.2940313518047333, 0.3292645812034607, 0.3338559567928314, 0.2745254635810852, 0.32304465770721436, 0.40078121423721313, 0.12656721472740173, 0.3513069152832031, 0.2418069690465927, 0.3832744061946869, 0.22652652859687805, 0.16981689631938934, 0.1868128627538681, 0.28372830152511597, 0.40641337633132935, 0.3598918616771698, 0.2555932104587555, 0.2991601824760437, 0.20418669283390045, 0.3947571814060211, 0.22733493149280548, 0.44794851541519165, 0.2751994729042053, 0.29603320360183716, 0.33292528986930847, 0.13769347965717316, 0.33377206325531006, 0.3753030598163605, 0.19895146787166595, 0.28214260935783386, 0.2750625014305115, 0.21316461265087128, 0.33110520243644714, 0.382321298122406, 0.37704309821128845, 0.3616785705089569, 0.4023834764957428, 0.37946197390556335, 0.4048713445663452, 0.14781427383422852, 0.31422051787376404, 0.31497469544410706, 0.3571631908416748, 0.29380491375923157, 0.39089781045913696, 0.35745367407798767, 0.2575683891773224, 0.2584991455078125, 0.28830069303512573, 0.267059862613678, 0.34691211581230164, 0.4472399652004242]",D,1963
35,John F. Kennedy,"[0.5993396043777466, 0.48560068011283875, 0.25491857528686523, 0.31162554025650024, 0.19522424042224884, 0.5641162395477295, 0.36277344822883606, 0.48831793665885925, 0.31292083859443665, 0.4679953157901764, 0.5280048847198486, 0.5036131143569946, 0.5003378391265869, 0.35271379351615906, 0.5148123502731323, 0.5723583102226257, 0.5335410833358765, 0.5617318749427795, 0.39642640948295593, 0.31080469489097595, 0.5173053741455078, 0.4687044024467468, 0.4184185862541199, 0.5686973929405212, 0.5860914587974548, 0.5519583821296692, 0.5297566652297974, 0.503546416759491, 0.30881643295288086, 0.4342988431453705, 0.39735788106918335, 0.25596025586128235, 0.611055850982666, 0.6266496777534485, 0.5970244407653809, 0.3241420388221741, 0.5210014581680298, 0.5115157961845398, 0.3976593315601349, 0.1437290459871292, 0.521612286567688, 0.3318924903869629, 0.5410041213035583, 0.5497899651527405, 0.5870735049247742, 0.3031526505947113, 0.47974374890327454, 0.5826131105422974, 0.3849089741706848, 0.5668400526046753, 0.5388297438621521, 0.5860445499420166, 0.20518629252910614, 0.42654934525489807, 0.5751563906669617, 0.5010146498680115, 0.48284342885017395, 0.48428207635879517, 0.45859119296073914, 0.5894556641578674, 0.35617995262145996, 0.45420345664024353, 0.5676336288452148, 0.3265910744667053, 0.4545144736766815, 0.5256145000457764, 0.29951754212379456, 0.6171544790267944, 0.4878810942173004, 0.4546014964580536, 0.5624430179595947, 0.567596435546875, 0.36388689279556274, 0.4830365478992462, 0.4891839623451233, 0.5577481389045715, 0.4560558795928955, 0.5388907194137573, 0.4910048544406891, 0.6892058253288269, 0.4698532223701477, 0.22032804787158966, 0.3641107976436615, 0.5179377198219299, 0.4391999840736389, 0.5182986259460449, 0.65435391664505, 0.5869696736335754, 0.6416587233543396, 0.5614656209945679, 0.45857009291648865, 0.27299371361732483, 0.5418252348899841, 0.604597806930542, 0.5280572772026062, 0.580818235874176, 0.4389840066432953, 0.5233549475669861, 0.5080772638320923, 0.45365190505981445]",D,1961
34,Dwight D. Eisenhower,"[0.4887095093727112, 0.37787625193595886, 0.4338644742965698, 0.3576550781726837, 0.4460674524307251, 0.4642649292945862, 0.26325109601020813, 0.6018261909484863, 0.4479406476020813, 0.5682432651519775, 0.54094398021698, 0.49087706208229065, 0.5100633502006531, 0.37498563528060913, 0.42247310280799866, 0.4855932593345642, 0.25456517934799194, 0.40977224707603455, 0.3198584020137787, 0.45650649070739746, 0.44206884503364563, 0.5733588337898254, 0.4883168637752533, 0.4016692340373993, 0.4631699323654175, 0.46614953875541687, 0.38705456256866455, 0.2871154546737671, 0.40088915824890137, 0.4101073443889618, 0.4622088372707367, 0.42116162180900574, 0.5334295630455017, 0.3741466701030731, 0.44225844740867615, 0.3391651511192322, 0.4735538065433502, 0.47438254952430725, 0.4769832491874695, 0.47123560309410095, 0.26219967007637024, 0.41800132393836975, 0.3908688426017761, 0.5181198716163635, 0.6088168025016785, 0.5862535238265991, 0.4865982234477997, 0.4117914140224457, 0.4346078634262085, 0.5782495141029358, 0.47909650206565857, 0.5169457793235779, 0.462140291929245, 0.5509293675422668, 0.4599469006061554, 0.4454285502433777, 0.21722407639026642, 0.33947035670280457, 0.4338807165622711, 0.24203424155712128, 0.3092774450778961, 0.4713912308216095, 0.41067349910736084, 0.37643060088157654, 0.4825035631656647, 0.4510127604007721, 0.2891393005847931, 0.3844713866710663, 0.34802496433258057, 0.48760107159614563, 0.5220703482627869, 0.3153263330459595, 0.6149863600730896, 0.22509466111660004, 0.5908058881759644, 0.46144816279411316, 0.4588661789894104, 0.5275366902351379, 0.541662871837616, 0.4942944645881653, 0.39327770471572876, 0.522604763507843, 0.2933754324913025, 0.5450736880302429, 0.2842985689640045, 0.4540752172470093, 0.4781256914138794, 0.4695988595485687, 0.5027214884757996, 0.25228896737098694, 0.5441385507583618, 0.438679575920105, 0.5318658351898193, 0.29719093441963196, 0.4176452159881592, 0.452827125787735, 0.5071895718574524, 0.43551355600357056, 0.5415619611740112, 0.4217064380645752]",R,1953
33,Harry S. Truman,"[0.5273374319076538, 0.514227032661438, 0.46035483479499817, 0.5313644409179688, 0.24955546855926514, 0.5822147130966187, 0.4839726686477661, 0.23061202466487885, 0.4659821093082428, 0.5087118148803711, 0.2971179783344269, 0.43521255254745483, 0.5218177437782288, 0.5353063941001892, 0.29442253708839417, 0.2846453785896301, 0.5645149946212769, 0.319703608751297, 0.4539061486721039, 0.42239290475845337, 0.4370889663696289, 0.5019413828849792, 0.38517776131629944, 0.41383737325668335, 0.5182490348815918, 0.22828787565231323, 0.4866483211517334, 0.5115865468978882, 0.5146496295928955, 0.4037887454032898, 0.4558382034301758, 0.23648595809936523, 0.3083248734474182, 0.544246256351471, 0.4945097267627716, 0.37390294671058655, 0.3350693881511688, 0.4378323554992676, 0.3643881678581238, 0.48313042521476746, 0.39924898743629456, 0.33086076378822327, 0.3140326142311096, 0.44287052750587463, 0.25258052349090576, 0.43690258264541626, 0.47743988037109375, 0.5222620368003845, 0.3296407163143158, 0.4782105088233948, 0.25959739089012146, 0.5638749599456787, 0.3346279263496399, 0.5324212908744812, 0.23109667003154755, 0.4790486693382263, 0.4761764407157898, 0.2428266853094101, 0.32098305225372314, 0.5520855188369751, 0.5327523350715637, 0.43631821870803833, 0.5359132885932922, 0.4350011944770813, 0.54503333568573, 0.514204740524292, 0.3276333212852478, 0.46449506282806396, 0.5208392143249512, 0.2592998445034027, 0.5331965684890747, 0.35917985439300537, 0.3777976930141449, 0.2642313838005066, 0.2614712119102478, 0.6154025197029114, 0.35872527956962585, 0.28889596462249756, 0.5166119337081909, 0.5325648188591003, 0.2885209619998932, 0.2704820930957794, 0.484860360622406, 0.4025222063064575, 0.5743155479431152, 0.29248467087745667, 0.5062858462333679, 0.4245040714740753, 0.4923555552959442, 0.4984947741031647, 0.4719373881816864, 0.5190712809562683, 0.5157634019851685, 0.5073149800300598, 0.5327198505401611, 0.341078519821167, 0.3603459894657135, 0.5451259016990662, 0.3306143879890442, 0.41040050983428955]",D,1945
32,Franklin D. Roosevelt,"[0.40657708048820496, 0.48616331815719604, 0.4655744731426239, 0.599456787109375, 0.3787803649902344, 0.39811235666275024, 0.4879831373691559, 0.2514098584651947, 0.46309128403663635, 0.44674330949783325, 0.5499967932701111, 0.35330286622047424, 0.45070287585258484, 0.38096025586128235, 0.38674306869506836, 0.46787169575691223, 0.3714330494403839, 0.643197238445282, 0.5185605883598328, 0.48809951543807983, 0.5636401772499084, 0.5823877453804016, 0.5389231443405151, 0.4286211133003235, 0.6287572383880615, 0.48995065689086914, 0.3500165343284607, 0.4833648204803467, 0.36501580476760864, 0.4446733593940735, 0.5863670706748962, 0.6012530326843262, 0.5455477833747864, 0.43008607625961304, 0.6135109663009644, 0.2169163078069687, 0.6966569423675537, 0.5104203820228577, 0.5024557113647461, 0.3720356523990631, 0.37993955612182617, 0.6194615960121155, 0.5608919262886047, 0.5170232653617859, 0.2515155076980591, 0.46174177527427673, 0.34021735191345215, 0.2671128511428833, 0.4900665283203125, 0.45667746663093567, 0.42616820335388184, 0.6418290138244629, 0.4749901294708252, 0.5408685207366943, 0.3840939402580261, 0.3869220018386841, 0.5682823061943054, 0.3964678943157196, 0.5517169237136841, 0.44532498717308044, 0.37316158413887024, 0.5613899827003479, 0.4833492934703827, 0.6375437378883362, 0.40872323513031006, 0.6517988443374634, 0.7094337940216064, 0.5195183157920837, 0.4177243709564209, 0.3108313977718353, 0.4868660271167755, 0.43347784876823425, 0.6774518489837646, 0.6073386669158936, 0.5168939232826233, 0.45092353224754333, 0.4632999002933502, 0.38880911469459534, 0.12906420230865479, 0.688244104385376, 0.3381669521331787, 0.3873501718044281, 0.4185350239276886, 0.4145560562610626, 0.4965670108795166, 0.4585159122943878, 0.48209521174430847, 0.3811422288417816, 0.401955783367157, 0.5418812036514282, 0.38842707872390747, 0.20773690938949585, 0.5243573784828186, 0.5609899163246155, 0.30578726530075073, 0.5043555498123169, 0.5604702234268188, 0.18737396597862244, 0.43420419096946716, 0.2622140049934387]",D,1933
31,Herbert Hoover,"[0.2306230068206787, 0.18269142508506775, 0.32543277740478516, 0.36875978112220764, 0.12086990475654602, 0.326706200838089, 0.13484357297420502, 0.30552518367767334, 0.43822741508483887, 0.2582605481147766, 0.1611352413892746, 0.3278787434101105, 0.2908514738082886, 0.32526808977127075, 0.15546829998493195, 0.15109863877296448, 0.17250637710094452, 0.2511601150035858, 0.05381496250629425, 0.14979000389575958, 0.22704319655895233, 0.13390235602855682, 0.2413964420557022, 0.2061212807893753, 0.38333332538604736, 0.19318053126335144, 0.20470798015594482, 0.08225683867931366, 0.16782239079475403, 0.3053518533706665, 0.2796053886413574, 0.26746267080307007, 0.24730126559734344, 0.19793422520160675, 0.3056352138519287, 0.06499889492988586, 0.33559751510620117, 0.23173418641090393, 0.3144529461860657, 0.10803291946649551, 0.08262737095355988, 0.20833784341812134, 0.22678729891777039, 0.18570499122142792, 0.10293157398700714, 0.3281177580356598, 0.25484973192214966, 0.30027514696121216, 0.27928853034973145, 0.24466489255428314, 0.15661031007766724, 0.3045656681060791, 0.2354489117860794, 0.09170471876859665, 0.34887930750846863, 0.4458799660205841, 0.2091398388147354, 0.2050228863954544, 0.4168807864189148, 0.06220024824142456, 0.2623860239982605, 0.13891932368278503, 0.374620258808136, 0.33009862899780273, 0.16178663074970245, 0.16352248191833496, 0.2596968412399292, 0.251944363117218, 0.15017996728420258, 0.34595268964767456, 0.15771737694740295, 0.169557124376297, 0.3233368396759033, 0.07832632958889008, 0.11072536557912827, 0.2557337284088135, 0.3105476200580597, 0.14897871017456055, 0.3306201696395874, 0.06482809036970139, 0.11675279587507248, 0.31045347452163696, 0.28933650255203247, 0.29720309376716614, 0.3186134397983551, 0.20291677117347717, 0.1663552075624466, 0.14621935784816742, 0.20094971358776093, 0.21652188897132874, 0.16571013629436493, 0.3652198314666748, 0.29859113693237305, 0.15478499233722687, 0.11132728308439255, 0.20907722413539886, 0.2815440893173218, 0.21152497828006744, 0.1138821393251419, 0.32230904698371887]",R,1929
30,Calvin Coolidge,"[0.09774760156869888, 0.13764551281929016, 0.12793636322021484, 0.19513964653015137, 0.1801328957080841, 0.20621348917484283, 0.3249870538711548, 0.19018703699111938, 0.28408685326576233, 0.35002705454826355, 0.4464700520038605, 0.2215254306793213, 0.15861518681049347, 0.13888117671012878, 0.18994152545928955, 0.22001583874225616, 0.3184390962123871, 0.18551979959011078, 0.35851821303367615, 0.2673179507255554, 0.1395590901374817, 0.44597017765045166, 0.29156145453453064, 0.1481836587190628, 0.16222688555717468, 0.3847399652004242, 0.44659650325775146, 0.35025957226753235, 0.27209076285362244, 0.19804953038692474, 0.21036434173583984, 0.2009197473526001, 0.18779022991657257, 0.15129627287387848, 0.3807249963283539, 0.25423291325569153, 0.4208178222179413, 0.391155481338501, 0.37993910908699036, 0.46521881222724915, 0.367421954870224, 0.21148574352264404, 0.16859334707260132, 0.3284884989261627, 0.19703863561153412, 0.21758998930454254, 0.31193387508392334, 0.23200646042823792, 0.11782915145158768, 0.3151666522026062, 0.20001527667045593, 0.29776984453201294, 0.11624501645565033, 0.1538538932800293, 0.19988256692886353, 0.13017576932907104, 0.2262139916419983, 0.2807961404323578, 0.33130618929862976, 0.12697087228298187, 0.24933473765850067, 0.09920945018529892, 0.3447541296482086, 0.15420468151569366, 0.4886903166770935, 0.3132615387439728, 0.3600289225578308, 0.16732199490070343, 0.13993576169013977, 0.18389065563678741, 0.12367314845323563, 0.28703317046165466, 0.17670629918575287, 0.19171738624572754, 0.448661208152771, 0.4414483308792114, 0.18138420581817627, 0.39012861251831055, 0.4499131739139557, 0.18487712740898132, 0.12931112945079803, 0.25460284948349, 0.3350391387939453, 0.33527621626853943, 0.1629427671432495, 0.14413221180438995, 0.23512989282608032, 0.41353505849838257, 0.24205945432186127, 0.2500339150428772, 0.29058295488357544, 0.17851266264915466, 0.3359619677066803, 0.2766243517398834, 0.1667300909757614, 0.40500447154045105, 0.13067388534545898, 0.3924851417541504, 0.1865357607603073, 0.16502869129180908]",R,1923
29,Warren G. Harding,"[0.33107197284698486, 0.35227110981941223, 0.24527950584888458, 0.41999655961990356, 0.37711411714553833, 0.1779981553554535, 0.35759758949279785, 0.3111661374568939, 0.32671433687210083, 0.3659941852092743, 0.3667975962162018, 0.4455983340740204, 0.2877441346645355, 0.3086814880371094, 0.4218055009841919, 0.3260805904865265, 0.27507054805755615, 0.2637477517127991, 0.2962789237499237, 0.3559545874595642, 0.17427532374858856, 0.39183172583580017, 0.2109093815088272, 0.2943597733974457, 0.3526131212711334, 0.18867802619934082, 0.345306396484375, 0.10021176189184189, 0.45199093222618103, 0.24179495871067047, 0.2648774981498718, 0.19895094633102417, 0.18449260294437408, 0.30601388216018677, 0.30618879199028015, 0.21053457260131836, 0.3083592355251312, 0.38748830556869507, 0.49176955223083496, 0.34031233191490173, 0.24650953710079193, 0.2678699493408203, 0.2065201699733734, 0.14872844517230988, 0.32881590723991394, 0.375737726688385, 0.21681754291057587, 0.230434849858284, 0.36053815484046936, 0.37259620428085327, 0.25881093740463257, 0.28292545676231384, 0.4555804431438446, 0.23857301473617554, 0.21126361191272736, 0.33299484848976135, 0.2896607518196106, 0.12871524691581726, 0.26114821434020996, 0.20523540675640106, 0.25919175148010254, 0.31019383668899536, 0.20809882879257202, 0.32927173376083374, 0.38559994101524353, 0.22131937742233276, 0.2700763940811157, 0.2886059582233429, 0.37132182717323303, 0.2548932731151581, 0.3540630638599396, 0.3010703921318054, 0.2665252089500427, 0.34888359904289246, 0.3306967616081238, 0.26241472363471985, 0.17573334276676178, 0.24320173263549805, 0.20272420346736908, 0.3535920977592468, 0.3455205261707306, 0.32917580008506775, 0.221113920211792, 0.29481202363967896, 0.32138240337371826, 0.37251999974250793, 0.22308698296546936, 0.2028777152299881, 0.14614459872245789, 0.4269500970840454, 0.3317226767539978, 0.34239229559898376, 0.11337822675704956, 0.2509458065032959, 0.39750444889068604, 0.30140212178230286, 0.21431377530097961, 0.32864323258399963, 0.3288517892360687, 0.30322569608688354]",R,1921
28,Woodrow Wilson,"[0.04886583983898163, 0.14362399280071259, 0.457107275724411, 0.0591050460934639, 0.2909790277481079, 0.2757614254951477, 0.11515288054943085, 0.1331912875175476, 0.13132992386817932, 0.09752300381660461, 0.14189890027046204, 0.059252817183732986, 0.08763475716114044, 0.07668323069810867, 0.11517190933227539, 0.1461600512266159, 0.24267399311065674, 0.2521875500679016, 0.5002098083496094, 0.19058173894882202, 0.05280100181698799, 0.11269140243530273, 0.21728987991809845, 0.08078481256961823, 0.06346418708562851, 0.42503026127815247, 0.16419658064842224, 0.24233335256576538, 0.047733571380376816, 0.13136717677116394, 0.23256750404834747, 0.3328648805618286, 0.36022812128067017, 0.3477485775947571, 0.1454678624868393, 0.3222268521785736, 0.15718846023082733, 0.3420850336551666, 0.06777898222208023, 0.22380875051021576, 0.2936323583126068, 0.4743430018424988, 0.13638801872730255, 0.20851385593414307, 0.1643170714378357, 0.33609020709991455, 0.21076227724552155, 0.32058995962142944, 0.31369248032569885, 0.11920638382434845, 0.2814866006374359, 0.23739762604236603, 0.10581527650356293, 0.541857898235321, 0.1423826366662979, 0.08039877563714981, 0.0930452048778534, 0.03456246852874756, 0.11808684468269348, 0.2552427053451538, 0.0327259823679924, 0.1645519882440567, 0.2850305736064911, 0.4266696274280548, 0.23666565120220184, 0.19590650498867035, 0.07425327599048615, 0.17076832056045532, 0.1576700210571289, 0.3938479423522949, 0.2628699243068695, 0.15970449149608612, 0.31247708201408386, 0.35179853439331055, 0.24847525358200073, 0.10678800195455551, 0.1006372794508934, 0.07321862131357193, 0.1626819372177124, 0.07368362694978714, 0.06083366274833679, 0.2117851823568344, 0.3485125005245209, 0.39556217193603516, 0.20001862943172455, 0.25412553548812866, 0.3110605478286743, 0.21801266074180603, 0.1804189532995224, 0.32599741220474243, 0.287121444940567, 0.3259381353855133, 0.2259751856327057, 0.2773403823375702, 0.3726501762866974, 0.10088550299406052, 0.0817570611834526, 0.2852209508419037, 0.38446351885795593, 0.3088186979293823]",D,1913
27,William Howard Taft,"[0.13831287622451782, 0.3244989514350891, 0.09612478315830231, 0.2680939733982086, 0.3015446364879608, 0.23588240146636963, 0.2708521783351898, 0.13624146580696106, 0.42874452471733093, 0.2612316906452179, 0.26234564185142517, 0.27481529116630554, 0.3076642155647278, 0.22228561341762543, 0.3218567967414856, 0.25174596905708313, 0.15278260409832, 0.3757398724555969, 0.39586201310157776, 0.43872159719467163, 0.3409155309200287, 0.25250840187072754, 0.49385958909988403, 0.25075745582580566, 0.3804534375667572, 0.36037686467170715, 0.4467056691646576, 0.20631569623947144, 0.21719270944595337, 0.15891197323799133, 0.29203909635543823, 0.31387051939964294, 0.3615846037864685, 0.33501261472702026, 0.347088485956192, 0.39753878116607666, 0.13066846132278442, 0.3224363327026367, 0.18558892607688904, 0.14356055855751038, 0.30153778195381165, 0.3358481228351593, 0.4697999954223633, 0.1508641391992569, 0.2921222746372223, 0.4029063284397125, 0.3183237314224243, 0.36821311712265015, 0.2800314426422119, 0.345811128616333, 0.4274812340736389, 0.3831831216812134, 0.431387335062027, 0.18165874481201172, 0.2647218704223633, 0.2692926526069641, 0.2522040009498596, 0.30319273471832275, 0.3174845576286316, 0.19194342195987701, 0.2127808928489685, 0.38960129022598267, 0.13354109227657318, 0.26367470622062683, 0.33952564001083374, 0.26737451553344727, 0.45044657588005066, 0.4184904396533966, 0.24911640584468842, 0.33553025126457214, 0.12124745547771454, 0.2644139528274536, 0.17727142572402954, 0.31610921025276184, 0.16373665630817413, 0.2764608561992645, 0.14814448356628418, 0.33092227578163147, 0.16277411580085754, 0.2786383330821991, 0.3392496705055237, 0.3339727222919464, 0.3710882365703583, 0.48371797800064087, 0.19771721959114075, 0.261621356010437, 0.4092947840690613, 0.392286092042923, 0.27927207946777344, 0.3299454152584076, 0.31283047795295715, 0.13450320065021515, 0.18612034618854523, 0.30250534415245056, 0.3703773617744446, 0.28320616483688354, 0.3460777997970581, 0.23153512179851532, 0.16838592290878296, 0.36767062544822693]",R,1909
26,Theodore Roosevelt,"[0.30855661630630493, 0.3679540455341339, 0.6215975880622864, 0.2440066933631897, 0.5717692375183105, 0.24299852550029755, 0.304377019405365, 0.3188706636428833, 0.5629133582115173, 0.28087207674980164, 0.49701032042503357, 0.6054170727729797, 0.33312785625457764, 0.44311216473579407, 0.4575847387313843, 0.4595660865306854, 0.4495820105075836, 0.24717113375663757, 0.2077368199825287, 0.30632683634757996, 0.2589859068393707, 0.5315064787864685, 0.3281228840351105, 0.3975365459918976, 0.5365275740623474, 0.5817474126815796, 0.5226665735244751, 0.6038469076156616, 0.4652644991874695, 0.43363896012306213, 0.637614905834198, 0.4978727400302887, 0.5860797762870789, 0.30784717202186584, 0.4537232220172882, 0.26062676310539246, 0.2857884466648102, 0.3612671494483948, 0.36316585540771484, 0.29672256112098694, 0.5770006775856018, 0.5676892399787903, 0.45459499955177307, 0.18307441473007202, 0.6281481385231018, 0.5968241691589355, 0.479356586933136, 0.33005809783935547, 0.33110952377319336, 0.5480554103851318, 0.5200707316398621, 0.30190926790237427, 0.6188632845878601, 0.5976816415786743, 0.2817517817020416, 0.4721417725086212, 0.20206628739833832, 0.5910062789916992, 0.5784939527511597, 0.34915241599082947, 0.3280450105667114, 0.34125402569770813, 0.4579066336154938, 0.29698431491851807, 0.28685030341148376, 0.4730387330055237, 0.42784959077835083, 0.3083372116088867, 0.4990052282810211, 0.21724441647529602, 0.5273900628089905, 0.45313581824302673, 0.4462602734565735, 0.31696680188179016, 0.46395283937454224, 0.39414113759994507, 0.27392393350601196, 0.3156856596469879, 0.29444968700408936, 0.19684508442878723, 0.5988790392875671, 0.27664610743522644, 0.4771866798400879, 0.46216168999671936, 0.5367217063903809, 0.554165780544281, 0.2594454884529114, 0.5867129564285278, 0.5164154171943665, 0.512389063835144, 0.2865959703922272, 0.35990679264068604, 0.3456273376941681, 0.14138735830783844, 0.3271089494228363, 0.486747145652771, 0.3666898012161255, 0.515126645565033, 0.5951858162879944, 0.5430139303207397]",R,1901
25,William McKinley,"[0.11331150680780411, 0.40072956681251526, 0.37622061371803284, 0.10634168237447739, 0.4247731864452362, 0.4206578731536865, 0.34367960691452026, 0.1597607582807541, 0.12646730244159698, 0.3486042618751526, 0.49058687686920166, 0.31240442395210266, 0.41062214970588684, 0.1772315949201584, 0.24894127249717712, 0.3276691436767578, 0.23743973672389984, 0.3495791256427765, 0.2503194808959961, 0.3800613582134247, 0.31105339527130127, 0.41149353981018066, 0.4807252883911133, 0.23995129764080048, 0.3845708668231964, 0.42900651693344116, 0.2641134560108185, 0.2191864550113678, 0.4193723499774933, 0.3896229565143585, 0.5910776853561401, 0.3641766905784607, 0.2991369068622589, 0.32428088784217834, 0.45533260703086853, 0.380723774433136, 0.48666757345199585, 0.3073115348815918, 0.15841266512870789, 0.3052447438240051, 0.2974867522716522, 0.4507668614387512, 0.11739540845155716, 0.3656540811061859, 0.22125983238220215, 0.3403191864490509, 0.17912258207798004, 0.22655165195465088, 0.2671898901462555, 0.16243568062782288, 0.13070186972618103, 0.34767258167266846, 0.20364107191562653, 0.2866821587085724, 0.29826292395591736, 0.3611656129360199, 0.17955103516578674, 0.37499549984931946, 0.4378763735294342, 0.33070993423461914, 0.22911834716796875, 0.250133216381073, 0.19964028894901276, 0.3693760931491852, 0.4068710505962372, 0.21888360381126404, 0.2808229327201843, 0.36637741327285767, 0.39316338300704956, 0.440433531999588, 0.2005455046892166, 0.28673067688941956, 0.37105169892311096, 0.30425605177879333, 0.3677169978618622, 0.40028420090675354, 0.45332980155944824, 0.28693845868110657, 0.4104486405849457, 0.11303789168596268, 0.4201018810272217, 0.41456785798072815, 0.2495226413011551, 0.22320352494716644, 0.2872298061847687, 0.11617337167263031, 0.26415660977363586, 0.2787974178791046, 0.45109114050865173, 0.3339638113975525, 0.0809098556637764, 0.20429158210754395, 0.3550792932510376, 0.23946021497249603, 0.130943164229393, 0.3507205843925476, 0.21659158170223236, 0.30375757813453674, 0.5364501476287842, 0.29838061332702637]",R,1897
24,Grover Cleveland,"[0.30290406942367554, 0.2721145451068878, 0.2002871334552765, 0.23740625381469727, 0.19617444276809692, 0.30120861530303955, 0.3191019296646118, 0.3158419728279114, 0.15352897346019745, 0.16147510707378387, 0.21548867225646973, 0.27342185378074646, 0.24273081123828888, 0.23169878125190735, 0.23163414001464844, 0.2894267737865448, 0.3797531723976135, 0.19922500848770142, 0.20081642270088196, 0.19656288623809814, 0.4069399833679199, 0.19802457094192505, 0.21496950089931488, 0.2913858890533447, 0.1919334977865219, 0.24824586510658264, 0.19766424596309662, 0.4041590988636017, 0.3630107641220093, 0.2941301167011261, 0.22128498554229736, 0.1783754974603653, 0.16189607977867126, 0.36918583512306213, 0.4008465111255646, 0.5184006094932556, 0.2907366454601288, 0.2131708711385727, 0.2148987054824829, 0.2121363878250122, 0.3797791004180908, 0.25258317589759827, 0.4746131896972656, 0.3375881016254425, 0.2850911319255829, 0.2864352762699127, 0.2746606767177582, 0.18726582825183868, 0.15444950759410858, 0.21405844390392303, 0.3761385679244995, 0.20060835778713226, 0.43025073409080505, 0.16672146320343018, 0.22090642154216766, 0.20321869850158691, 0.41658908128738403, 0.20135262608528137, 0.2101309448480606, 0.160955011844635, 0.22230872511863708, 0.35778990387916565, 0.3261498510837555, 0.24468722939491272, 0.2672322392463684, 0.3540368974208832, 0.26604416966438293, 0.4283578097820282, 0.19240722060203552, 0.4191282391548157, 0.16606226563453674, 0.2598760426044464, 0.3986220955848694, 0.2910003662109375, 0.348526269197464, 0.32688623666763306, 0.20633530616760254, 0.46760961413383484, 0.2590040862560272, 0.4225649833679199, 0.2570432126522064, 0.34361493587493896, 0.4194004535675049, 0.15953993797302246, 0.5383070707321167, 0.24724513292312622, 0.3418704569339752, 0.32420486211776733, 0.2432536631822586, 0.2761334776878357, 0.39693570137023926, 0.22879399359226227, 0.19028645753860474, 0.160451278090477, 0.31456848978996277, 0.32814595103263855, 0.23716215789318085, 0.4154157340526581, 0.2594930827617645, 0.41098520159721375]",D,1893
