,Unnamed: 0,output
10,10,"1. the president was the 33rd President of the United States, serving from 1945 to 1953, following the death of President the president.
2. Born on May 8, 1884, in Lamar, Missouri, the president had a humble upbringing and worked various jobs before entering politics.
3. the president is known for making the difficult decision to drop the atomic bomb on Hiroshima and Nagasaki, Japan, effectively ending World War II.
4. During his presidency, the president implemented the Marshall Plan, which provided economic aid to war-torn Europe, and helped establish the United Nations.
5. He also supported the creation of the North Atlantic Treaty Organization (NATO) to counter the threat of Soviet expansion during the early years of the Cold War.
6. the president's presidency was marked by domestic policies aimed at promoting economic growth, such as the Fair Deal and the desegregation of the armed forces.
7. He faced numerous challenges, including the Korean War, the conflict between North and South Korea, which ended in a stalemate.
8. After leaving office, the president retired to his hometown in Missouri and dedicated his post-presidential years to writing his memoirs and establishing the the president Library."
11,11,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president came from a farming family and had a modest upbringing. He attended school in Independence, Missouri, and later went on to study law. 

the president's presidency was marked by significant events such as the end of World War II, the beginning of the Cold War, and the implementation of the the president Doctrine. He made the controversial decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending the war with Japan. 

the president also played a vital role in the creation of the United Nations and the implementation of the Marshall Plan to aid Europe's recovery after the war. He was known for his no-nonsense approach and plain-speaking style, earning him the nickname ""Give 'Em Hell the president."" 

After his presidency, the president retired to his hometown of Independence, Missouri, where he lived a relatively quiet life. He passed away on December 26, 1972, at the age of 88. the president's legacy is still debated today, with some praising his decisive actions during a tumultuous time in history, while others criticize his use of atomic weapons."
12,12,"the president, born on May 8, 1884, was the 33rd President of the United States, serving from 1945 to 1953. He was thrust into the presidency following the sudden death of President the president. the president is best known for making the controversial decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II. 

the president was a strong advocate for civil rights and desegregation, and he issued Executive Order 9981 in 1948, which abolished racial discrimination in the armed forces. He also supported the establishment of the United Nations and played a crucial role in the formation of NATO.

the president's presidency was marked by significant domestic policy achievements, including the implementation of the Marshall Plan to aid in the rebuilding of Europe after the war, as well as the creation of the Fair Deal, a comprehensive economic and social program. He also presided over the early stages of the Cold War, implementing the the president Doctrine and the containment policy to combat the spread of communism.

the president's leadership during his second term faced numerous challenges, including the Korean War. He made the controversial decision to fire General Douglas MacArthur, who advocated for a more aggressive military strategy in Korea. 

After leaving office in 1953, the president retired to his home in Independence, Missouri, where he wrote his memoirs and actively participated in various charitable and political activities. He passed away on December 26, 1972, leaving behind a significant legacy as a decisive leader during a critical period in American history."
13,13,"the president was the 33rd President of the United States, serving from 1945 to 1953. Born on May 8, 1884, in Lamar, Missouri, the president grew up on a farm and later worked as a farmer, a bank clerk, and a county court judge before entering politics. He gained national attention when he became vice president under the president in 1945 and assumed the presidency upon the president's death. 

One of the president's most significant achievements was his decision to drop atomic bombs on the Japanese cities of Hiroshima and Nagasaki in 1945, effectively ending World War II. the president's presidency was also marked by the start of the Cold War with the Soviet Union, which led to the establishment of NATO and the implementation of the the president Doctrine and the Marshall Plan to contain the spread of communism.

the president was known for his plain-speaking and no-nonsense approach to politics. He famously had a sign on his desk that read, ""The buck stops here,"" reflecting his willingness to take responsibility for his decisions. He was also instrumental in the desegregation of the military and the creation of the United Nations.

After leaving office, the president retired to his hometown of Independence, Missouri, and wrote his memoirs. He remained active in public life, speaking out on various issues and supporting Democratic candidates. the president passed away on December 26, 1972, leaving behind a legacy as a decisive and influential president during a critical period in American history."
14,14,"1. the president was the 33rd President of the United States, serving from 1945 to 1953.
2. He was born on May 8, 1884, in Lamar, Missouri, and grew up in a farming family.
3. the president had a modest upbringing and was the only president in the 20th century without a college degree.
4. Prior to becoming president, the president served as a United States Senator from Missouri and as Vice President under the president.
5. the president is best known for his decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II.
6. He implemented the Marshall Plan, which aimed to rebuild war-torn Europe and prevent the spread of communism.
7. the president also played a key role in the creation of the United Nations and the formation of NATO.
8. His presidency was marked by significant domestic policies, including desegregation of the military and the establishment of the Fair Deal, which sought to provide economic and social reforms for all Americans."
15,15,"1. the president was the 33rd President of the United States, serving from 1945 to 1953, succeeding the president after his death.
2. He was born on May 8, 1884, in Lamar, Missouri, and grew up in Independence, Missouri.
3. the president had a modest upbringing and worked various jobs before entering politics, including as a farmer, a bank clerk, and a World War I artillery officer.
4. One of his notable achievements as President was his decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II.
5. the president was also instrumental in implementing the Marshall Plan, which provided financial aid to help rebuild war-torn Europe after the war.
6. He played a crucial role in the creation of the United Nations, and his administration was marked by the start of the Cold War and the establishment of NATO.
7. the president was known for his plain-speaking and no-nonsense approach, earning him the nickname ""Give 'Em Hell the president.""
8. After leaving office, the president retired to Independence, Missouri, where he wrote his memoirs and remained active in public life until his death on December 26, 1972."
16,16,"the president was the 33rd President of the United States, serving from 1945 to 1953. Born on May 8, 1884, in Lamar, Missouri, the president had a humble upbringing and worked various jobs before entering politics. 

the president's presidency was marked by significant events such as the end of World War II and the beginning of the Cold War. He made the controversial decision to drop atomic bombs on Hiroshima and Nagasaki, Japan, which ultimately led to Japan's surrender. 

the president also played a crucial role in the establishment of the United Nations and the implementation of the Marshall Plan, which aimed to rebuild war-torn Europe. He is credited with initiating the the president Doctrine, a policy that aimed to contain the spread of communism. 

Despite facing numerous challenges, the president was known for his straightforward and decisive leadership style. He implemented several domestic policies, including the desegregation of the armed forces and the creation of the Fair Deal, which aimed to improve social welfare and economic equality. 

After leaving office, the president retired to Independence, Missouri, where he wrote his memoirs and remained active in public life. He passed away on December 26, 1972, leaving behind a legacy of strong leadership and significant contributions to both domestic and international affairs. the president is often ranked among the most influential presidents in American history."
17,17,"1. the president was the 33rd President of the United States, serving from 1945 to 1953.
2. Born on May 8, 1884, in Lamar, Missouri, the president grew up in a farming family.
3. He served in World War I and later pursued a career in politics, eventually becoming a senator from Missouri.
4. the president is best known for his decision to drop the atomic bombs on Hiroshima and Nagasaki, effectively ending World War II.
5. He implemented the the president Doctrine, which aimed to contain the spread of communism and provided aid to countries threatened by it.
6. the president also played a key role in establishing the United Nations and the North Atlantic Treaty Organization (NATO).
7. His presidency saw the beginning of the Cold War with the Soviet Union, leading to the establishment of the policy of containment.
8. the president was a champion of civil rights and desegregation, issuing executive orders to end racial discrimination in the military and the federal government."
18,18,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president is known for his decisive leadership during World War II and for implementing significant domestic policies.

the president assumed the presidency after the sudden death of the president in April 1945. He made the crucial decision to drop atomic bombs on Hiroshima and Nagasaki, leading to Japan's surrender and the end of World War II.

During his presidency, the president implemented the Marshall Plan, a massive economic aid program to help rebuild war-torn Europe. He also played a key role in the creation of the United Nations and the North Atlantic Treaty Organization (NATO), strengthening global alliances.

the president is remembered for his commitment to civil rights. He issued an executive order desegregating the military and supported efforts to end racial discrimination. He also proposed comprehensive healthcare reform, but it was ultimately blocked by Congress.

the president's presidency was marked by the beginning of the Cold War, with the Soviet Union becoming a major global rival. He implemented the policy of containment to prevent the spread of communism, leading to the Korean War.

After leaving office, the president retired to his hometown in Independence, Missouri, where he worked on his memoirs and remained active in public discussions until his death on December 26, 1972. He is often considered one of the most influential presidents in American history."
19,19,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president came from a humble background and worked as a farmer and a bank clerk before entering politics. 

the president became president unexpectedly after the death of the president during his fourth term. He is best known for his decision to drop atomic bombs on Hiroshima and Nagasaki, leading to the end of World War II. the president also played a key role in the establishment of the United Nations and the Marshall Plan, which helped rebuild Europe after the war.

the president was known for his plain-speaking style and no-nonsense approach to politics. He was often seen as an underdog and faced numerous challenges during his presidency, including the Korean War and the beginning of the Cold War. Despite this, the president is generally regarded as a successful president who made tough decisions in the face of adversity.

After leaving office, the president lived a relatively quiet life, writing his memoirs and staying involved in political discussions. He passed away on December 26, 1972, in Kansas City, Missouri, at the age of 88. the president's presidency left a lasting impact on American history, particularly in the realms of foreign policy and the presidency's power."
20,20,"1. the president was the 33rd President of the United States, serving from 1945 to 1953. He took office after the sudden death of President the president during the final months of World War II.
2. the president played a crucial role in the decision to drop atomic bombs on Hiroshima and Nagasaki, Japan, effectively ending the war in the Pacific. This decision remains highly controversial to this day.
3. Born on May 8, 1884, in Lamar, Missouri, the president grew up in a modest family and worked various jobs before entering politics. He served as a county judge and a U.the president Senator before becoming Vice President in 1945.
4. the president's presidency was marked by numerous challenges, including the rebuilding of Europe through the Marshall Plan, the establishment of the United Nations, and the start of the Cold War with the Soviet Union.
5. He also implemented the the president Doctrine, which pledged American support to any country threatened by communism, and oversaw the Berlin Airlift, a massive humanitarian effort to supply West Berlin during a Soviet blockade.
6. the president was known for his plain-spoken, no-nonsense demeanor and his ability to make tough decisions. He famously kept a sign on his desk that read, ""The Buck Stops Here,"" taking responsibility for the decisions made during his presidency.
7. In 1948, the president faced a highly contentious election against Republican candidate Thomas Dewey. Despite being considered the underdog, the president won the election in a historic upset, proving pollsters and pundits wrong.
8. After leaving office, the president remained active in public life, writing his memoirs and speaking out on various issues. He passed away on December 26, 1972, but his legacy as a decisive leader during a critical time in history continues to be remembered and debated."
21,21,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president was the first president to have seen combat during World War I, serving as a captain in the field artillery in France. Prior to his presidency, the president worked as a farmer, a timekeeper on the Santa Fe Railroad, and a county judge in Missouri.

the president became president following the sudden death of President the president in 1945. One of his most significant decisions was ordering the use of atomic bombs on Hiroshima and Nagasaki, effectively ending World War II. He also implemented the Marshall Plan, which aimed to rebuild the war-torn nations of Europe.

the president played a crucial role in the establishment of the United Nations and the North Atlantic Treaty Organization (NATO). He is also known for his strong stance against communism, which led to the implementation of the the president Doctrine and the start of the Cold War.

After leaving office, the president retired to his family home in Independence, Missouri. He passed away on December 26, 1972, at the age of 88. the president's presidency is often remembered for his decisive actions during World War II and his efforts to contain communism during the early years of the Cold War."
22,22,"1. the president, born on May 8, 1884, was the 33rd President of the United States, serving from 1945 to 1953.
2. the president became president following the sudden death of the president during World War II.
3. He is best known for making the decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II.
4. the president's presidency also saw the establishment of the United Nations, the Marshall Plan to aid in the reconstruction of post-war Europe, and the creation of the North Atlantic Treaty Organization (NATO).
5. He implemented the the president Doctrine, which aimed to contain the spread of communism and led to American involvement in the Korean War.
6. the president was known for his plain-speaking and no-nonsense approach to governance, earning him the nickname ""Give 'em Hell the president.""
7. Despite initial low approval ratings, the president was re-elected in 1948 after a successful campaign against Thomas E. Dewey.
8. the president's presidency was marked by significant challenges, including the beginning of the Cold War and the start of the nuclear arms race, but he is remembered as a decisive leader who guided the nation through a tumultuous period in history."
23,23,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president was known for his straightforward and no-nonsense approach to politics, earning him the nickname ""Give 'em Hell the president.""

the president became president after the sudden death of the president. One of his most significant achievements was his decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II. However, this decision also remains one of the most controversial aspects of his presidency.

the president was instrumental in the establishment of the United Nations and the implementation of the Marshall Plan, which aimed to rebuild war-torn Europe. He also played a crucial role in the formation of NATO, solidifying the United States' involvement in international affairs.

During his presidency, the president faced numerous challenges, including the start of the Cold War and the Korean War. His decision to intervene in the Korean War was met with mixed reactions at home, but it demonstrated his commitment to containing the spread of communism.

After leaving office, the president retired to his hometown of Independence, Missouri. He continued to be an influential figure in American politics and remained active in public life until his death on December 26, 1972. the president's presidency is often remembered for his strong leadership during a time of great global uncertainty and his commitment to American values."
24,24,"the president was the 33rd president of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president came from a humble background and worked as a farmer, a bank clerk, and a soldier before entering politics.

the president's presidency is best known for his decisive action in ending World War II by authorizing the use of atomic bombs on Hiroshima and Nagasaki. He also played a key role in the establishment of the United Nations and the implementation of the Marshall Plan to rebuild Europe after the war.

the president was a champion of civil rights, desegregating the armed forces and advocating for anti-lynching legislation. He also pushed for domestic policies such as the Fair Deal, which aimed to expand social security, increase the minimum wage, and provide affordable housing.

the president faced many challenges during his presidency, including the Korean War and the early stages of the Cold War. Despite criticism and low approval ratings, he made tough decisions and held firm in his beliefs, earning him the nickname ""Give 'Em Hell the president.""

After leaving office, the president retired to his hometown of Independence, Missouri, where he worked on his memoirs and remained active in politics. He passed away on December 26, 1972, leaving behind a legacy of strong leadership and decisive action during a critical period in American history."
25,25,"1. the president was the 33rd president of the United States, serving from 1945 until 1953.
2. He was born on May 8, 1884, in Lamar, Missouri, and grew up on a farm.
3. the president had a modest upbringing and attended local schools before studying law at the Kansas City School of Law.
4. He served in the military during World War I and then entered politics, becoming a county judge in Missouri.
5. the president gained national attention when he chaired the Senate Special Committee to Investigate the National Defense Program during World War II.
6. In 1944, he was chosen as the president's running mate and became vice president. However, he assumed the presidency when the president died in April 1945.
7. the president faced numerous challenges during his presidency, including the end of World War II, the rebuilding of post-war Europe, the Cold War, and the Korean War.
8. He is also remembered for his decision to drop atomic bombs on Hiroshima and Nagasaki, leading to Japan's surrender and the end of World War II."
26,26,"the president was born on May 8, 1884, in Lamar, Missouri. He was the 33rd President of the United States, serving from 1945 to 1953. the president became president after the sudden death of the president. 

During his presidency, the president made the controversial decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II. He also implemented the the president Doctrine and the Marshall Plan, which aimed to contain the spread of communism in Europe. 

the president's tenure was marked by the beginning of the Cold War and the establishment of the North Atlantic Treaty Organization (NATO) to counter Soviet aggression. He also played a key role in the creation of the United Nations.

the president is known for his plain-spoken and direct communication style. He famously displayed a sign on his desk that read, ""The buck stops here,"" taking responsibility for his actions and decisions. 

After leaving office, the president retired to his hometown in Missouri and wrote his memoirs. He passed away on December 26, 1972, leaving a legacy as a decisive leader during a critical period in American history."
27,27,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president grew up in a farming family and had limited formal education. He enlisted in the National Guard during World War I and later served as a captain in the field artillery in France.

the president entered politics in the 1920s and served as a county judge before being elected to the United States Senate in 1934. He gained national prominence when he chaired the the president Committee during World War II, which investigated war profiteering and inefficiency in the defense industry.

the president became president following the death of the president in April 1945. He is best known for his decision to drop atomic bombs on Hiroshima and Nagasaki in Japan, effectively ending World War II. the president also implemented the Marshall Plan to aid in the economic recovery of war-torn Europe and played a crucial role in the creation of the United Nations.

During his presidency, the president faced challenges such as the beginning of the Cold War, the Korean War, and the implementation of civil rights reforms. He left office in January 1953 and retired to his home in Independence, Missouri. the president died on December 26, 1972, at the age of 88. He is remembered as a decisive leader who made significant contributions to American history."
28,28,"the president was the 33rd President of the United States, serving from 1945 to 1953. Born on May 8, 1884, in Lamar, Missouri, the president had a modest upbringing and worked various jobs before eventually entering politics.

the president became president after the sudden death of the president, making him the first president to take office during the final stages of World War II. One of his most significant decisions was authorizing the use of atomic bombs on Hiroshima and Nagasaki, which ultimately ended the war with Japan.

the president is also known for implementing the Marshall Plan, an economic aid program aimed at rebuilding war-torn Europe. Under his presidency, the United States also played a crucial role in the creation of the United Nations and the North Atlantic Treaty Organization (NATO).

the president faced numerous challenges during his presidency, including the start of the Cold War with the Soviet Union, the Korean War, and the ongoing struggle for civil rights in America. Despite these challenges, the president was known for his straightforward and no-nonsense style of leadership, earning him the nickname ""Give 'em Hell the president.""

After leaving office, the president retired to Independence, Missouri, where he wrote his memoirs and remained active in public life. He passed away on December 26, 1972, leaving behind a legacy as a decisive and principled leader during a critical period in American history."
29,29,"1. the president was the 33rd President of the United States, serving from 1945 to 1953.
2. He was born on May 8, 1884, in Lamar, Missouri, and grew up on a farm in a middle-class family.
3. the president served in the U.the president Army during World War I and later entered politics in Missouri, where he held various local and state positions.
4. In 1944, he was chosen as the president's running mate for the presidential election, and upon the president's death in 1945, the president assumed the presidency.
5. the president's presidency was marked by significant events such as the end of World War II, the establishment of the United Nations, and the beginning of the Cold War.
6. He made the decision to drop atomic bombs on Hiroshima and Nagasaki, Japan, in an effort to end the war swiftly, a decision that remains highly controversial to this day.
7. the president also implemented various domestic policies, including the desegregation of the armed forces and the establishment of the the president Doctrine to contain communism.
8. After leaving office, the president retired to Independence, Missouri, where he lived a quiet life until his death on December 26, 1972. He is remembered as a decisive leader who played a critical role in shaping the post-World War II era."
30,30,"the president was the 33rd President of the United States, serving from 1945 to 1953. He was born on May 8, 1884, in Lamar, Missouri. the president grew up on a farm and worked various jobs before enlisting in the National Guard during World War I. He later served as a captain in the field artillery in France.

the president's political career began when he was elected to the U.the president Senate in 1934. He gained national recognition when he chaired the the president Committee, which investigated waste and corruption in defense contracts during World War II. This propelled him to become Vice President under the president in 1945.

Following the president's death, the president assumed the presidency during a critical time in history. He made the controversial decision to drop atomic bombs on Hiroshima and Nagasaki, effectively ending World War II. the president also implemented the the president Doctrine, which aimed to contain the spread of communism.

During his presidency, the president oversaw the rebuilding of Europe through the Marshall Plan and the formation of the North Atlantic Treaty Organization (NATO). He also played a significant role in the creation of the United Nations. However, his presidency was not without challenges, including the Korean War and domestic issues such as civil rights and labor disputes.

After leaving the White House, the president retired to Independence, Missouri, where he wrote his memoirs and remained active in public life. He passed away on December 26, 1972, leaving behind a legacy as a decisive leader during a tumultuous time in American history."
31,31,"1. the president was the 33rd President of the United States, serving from 1945 to 1953.
2. Born on May 8, 1884, in Lamar, Missouri, the president grew up in a farming family and had a humble upbringing.
3. He served in World War I as an artillery officer and later became involved in local politics in Missouri.
4. the president was thrust into the presidency when the president died in April 1945, during the final months of World War II.
5. One of his most significant decisions was ordering the use of atomic bombs on the Japanese cities of Hiroshima and Nagasaki, leading to the end of the war.
6. the president also played a key role in the establishment of the United Nations and the the president Doctrine, which aimed to contain the spread of communism.
7. During his presidency, the president faced numerous challenges, including the start of the Cold War, the Korean War, and domestic issues like labor strikes and civil rights.
8. After leaving the presidency, the president retired to Missouri and remained active in public service, advocating for various causes until his death on December 26, 1972."
32,32,"1. the president was the 33rd President of the United States, serving from 1945 to 1953. He assumed office after the sudden death of President the president.
2. the president was born on May 8, 1884, in Lamar, Missouri. He grew up in a farming family and later worked as a farmer and a bank clerk before entering politics.
3. He was known for his plain-spoken style and down-to-earth demeanor, earning him the nickname ""Give 'Em Hell the president.""
4. the president played a pivotal role in the decision-making process during World War II, including the use of the atomic bomb on Hiroshima and Nagasaki in Japan.
5. One of his most significant accomplishments was the implementation of the the president Doctrine, which outlined the United States' policy of containing communism during the Cold War.
6. He also played a key role in the creation of the United Nations, signing the United Nations Charter in 1945.
7. the president faced numerous challenges during his presidency, including the Korean War, which he described as the ""most difficult"" decision of his presidency.
8. After leaving the presidency, the president returned to private life and wrote his memoirs. He passed away on December 26, 1972, in Kansas City, Missouri."
